id,lat,lon,price
104,-34.6226323,-58.4596565,459000
105,-34.6013644,-58.4301434,183000
106,-34.5900555,-58.4493062,230000
107,-34.5951648,-58.4284275,199000
109,-34.59658066,-58.41515054,279500
110,-34.589497,-58.4127217,200000
111,-34.58144633,-58.41651808,500000
112,-34.55664166,-58.46462574,395000
113,-34.5631122,-58.4437712,695000
114,-34.55199527,-58.44245144,780000
115,-34.5866079,-58.4125493,284900
116,-34.559804,-58.449174,275000
117,-34.5977603,-58.4408726,184910
118,-34.59618897,-58.44723477,132000
119,-34.56090582,-58.46159588,135000
120,-34.5605292,-58.4483653,275000
121,-34.5557703,-58.4577542,530000
122,-34.5518065,-58.4535615,235000
124,-34.5925237,-58.3989083,350000
125,-34.5993519,-58.3866372,145000
127,-34.6107177,-58.4115892,134900
128,-34.5921677,-58.4469416,145000
129,-34.573256,-58.446655,229800
130,-34.5821165,-58.4536856,155000
131,-34.5947625,-58.3982019,140000
132,-34.5690514,-58.436466,229500
133,-34.59679274,-58.44255312,190000
134,-34.59847721,-58.43350497,190000
135,-34.6077564,-58.4449345,166901
136,-34.59756266,-58.41603688,225000
137,-34.5676858,-58.4462836,1600000
138,-34.60197208,-58.39767078,125000
139,-34.5938288,-58.4294633,400000
140,-34.58767091,-58.42272426,405000
141,-34.58940552,-58.43445151,135000
142,-34.5976965,-58.41472145,199000
143,-34.5814108,-58.4088481,329000
144,-34.5991237,-58.4121976,139000
145,-34.5806225,-58.41111,293001
146,-34.5948201,-58.4273022,165001
147,-34.5980124,-58.4161032,225000
148,-34.5859904,-58.4384503,258001
149,-34.5805785,-58.4226281,185000
150,-34.5905277,-58.4198356,325000
151,-34.60948508,-58.42268733,148000
152,-34.60736,-58.4173,209000
153,-34.6032193,-58.4327709,205000
154,-34.60368927,-58.41871345,250000
155,-34.59573914,-58.43086938,166600
156,-34.5915768,-58.3915009,430000
157,-34.57660607,-58.43008938,450000
158,-34.5723298,-58.4286289,2550000
160,-34.61765664,-58.43096902,319000
161,-34.6287314,-58.4545003,815200
162,-34.5979343,-58.4158336,230001
163,-34.60077081,-58.43034311,215000
164,-34.6006877,-58.5143934,370000
166,-34.58940552,-58.43445151,135000
167,-34.60393364,-58.36436596,3300000
168,-34.5626013,-58.4507771,1850000
169,-34.5870079,-58.3856789,950000
170,-34.58631318,-58.39545387,790000
171,-34.5933257,-58.4050871,590000
172,-34.6007228,-58.440403,271501
173,-34.61464583,-58.40645995,270000
174,-34.5521323,-58.4385007,1111111
175,-34.5691348,-58.4443151,750000
176,-34.5895862,-58.4354746,420000
177,-34.57932626,-58.4558185,156800
178,-34.60163988,-58.43410906,158001
179,-34.6403226,-58.5117382,160000
180,-34.59779,-58.43153,103000
181,-34.59044679,-58.42482693,95000
182,-34.57771163,-58.43626593,115000
183,-34.57771163,-58.43626593,130000
184,-34.58240966,-58.42526916,105000
185,-34.58240966,-58.42526916,105000
186,-34.5856209,-58.4401226,108000
187,-34.6305168,-58.3771427,205000
188,-34.5701268,-58.4598421,169900
189,-34.5545188,-58.4601779,110000
190,-34.5607071,-58.4676627,550000
191,-34.5939655,-58.4037182,80000
193,-34.6403226,-58.5117382,160000
194,-34.6403226,-58.5117382,160000
195,-34.5712248,-58.4305301,170000
196,-34.59867,-58.45145,59000
197,-34.5978868,-58.4422734,80000
198,-34.608248,-58.421008,112000
199,-34.6122365,-58.367964,91000
200,-34.608248,-58.421008,133000
201,-34.608248,-58.421008,117000
202,-34.6264257,-58.4652542,99000
203,-34.6321064,-58.4595131,120000
204,-34.6327679,-58.4610381,90000
205,-34.608248,-58.421008,100000
206,-34.608248,-58.421008,104000
207,-34.608248,-58.421008,121000
208,-34.608248,-58.421008,137000
209,-34.608248,-58.421008,125000
210,-34.608248,-58.421008,108000
211,-34.608248,-58.421008,104000
212,-34.608248,-58.421008,129000
213,-34.608248,-58.421008,116000
214,-34.60381,-58.41797,130637
215,-34.608248,-58.421008,108000
216,-34.5977603,-58.4408726,110187
217,-34.608248,-58.421008,133000
218,-34.608248,-58.421008,125000
219,-34.608248,-58.421008,112000
220,-34.608248,-58.421008,190000
221,-34.608248,-58.421008,129000
222,-34.612141,-58.4995785,82000
223,-34.608248,-58.421008,121000
224,-34.612623,-58.4365537,95000
225,-34.5957852,-58.4249797,130000
226,-34.57771163,-58.43626593,165000
227,-34.59166046,-58.40941349,180000
228,-34.5943053,-58.4212675,219000
230,-34.5828068,-58.4482828,130000
231,-34.5537167,-58.4369555,335000
232,-34.5585119,-58.4600407,148000
233,-34.6043868,-58.4517894,97000
234,-34.596761,-58.4168779,135000
235,-34.5924983,-58.3890165,210000
236,-34.6086689,-58.4405856,175000
237,-34.5828068,-58.4482828,130000
238,-34.58997609,-58.4475112,64900
239,-34.6168288,-58.3900997,83000
240,-34.5828068,-58.4482828,130000
241,-34.5607071,-58.4676627,400000
242,-34.57932626,-58.4558185,154900
243,-34.60163988,-58.43410906,158001
244,-34.6053838,-58.4306523,82000
245,-34.60725,-58.44166,91000
246,-34.5792691,-58.4366421,290000
247,-34.64773405,-58.41544623,99500
249,-34.5479578,-58.4665217,153600
250,-34.5828068,-58.4482828,130000
251,-34.5479578,-58.4665217,67200
252,-34.59283164,-58.37787796,188000
253,-34.5983447,-58.37236464,149900
254,-34.608248,-58.421008,178000
255,-34.608248,-58.421008,183000
256,-34.608248,-58.421008,163000
257,-34.608248,-58.421008,148000
258,-34.608248,-58.421008,188000
259,-34.608248,-58.421008,173000
260,-34.608248,-58.421008,158000
261,-34.608248,-58.421008,168000
262,-34.60381,-58.41797,160833
263,-34.607177,-58.416505,89000
265,-34.5834133,-58.4337826,230000
266,-34.57771163,-58.43626593,165000
267,-34.60381,-58.41797,176904
269,-34.5975855,-58.3779642,110000
270,-34.6212145,-58.4465086,459000
271,-34.5958039,-58.3871864,120000
272,-34.6242988,-58.5279471,169000
273,-34.6396309,-58.5219565,85000
274,-34.5949198,-58.5075679,235000
275,-34.5723922,-58.4562696,189000
276,-34.5743641,-58.4729359,235000
277,-34.5461486,-58.4701644,132800
278,-34.6118473,-58.3965419,64782
279,-34.6242988,-58.5279471,169000
280,-34.6242988,-58.5279471,169000
281,-34.5977603,-58.4408726,344546
282,-34.5685575,-58.4535789,115000
283,-34.5840438,-58.4778518,80000
284,-34.58936947,-58.44563596,87500
285,-34.6086689,-58.4405856,135000
286,-34.618272,-58.438321,85000
287,-34.6027574,-58.397133,45000
288,-34.5841634,-58.402623,168000
289,-34.60685162,-58.38945433,112000
290,-34.601881,-58.43188,79000
291,-34.5813678,-58.4332815,74000
292,-34.60381,-58.41797,125755
293,-34.6015255,-58.4439093,56000
